,brand,prices,Discount,Ratings,Capacity,colour,User_Ratings,original_price
110,Whirlpool,8990,24,4.0,6,Grey,1016,14150
111,MarQ,12490,16,4.4,8.5,Blue,27,17900
112,Godrej,28990,16,5.0,6.2,Grey,624,36990
113,LG,17900,38,4.0,9,A...,15,20100
114,SAMSUNG,20990,30,4.3,Grey,Grey,318,25990
115,LG,35100,33,5.0,7,Silver,2491,52800
116,SAMSUNG,8990,36,5.0,8,Black,842,11200
117,Godrej,13540,20,4.4,6.5,White,4185,14950
118,Whirlpool,32990,34,4.4,8,Purple,9146,44990
119,LG,4990,33,4.4,7,Black,61984,8999
120,MarQ,15490,25,4.4,7.5,Green,15,26999
121,MOTOROLA,13690,28,4.3,8,Grey,318,16500
122,Godrej,13990,40,4.3,6,Grey,1684,16800
123,SAMSUNG,35100,38,4.3,6.5,Silver,12280,52800
124,SAMSUNG,8990,19,4.4,8,Black,26903,11200
125,Godrej,12690,22,4.2,6.5,White,254,18990
126,Godrej,8990,26,4.3,6,Grey,62485,9900
127,SAMSUNG,20940,27,4.3,6,Purple,71,26956
128,SAMSUNG,17990,30,4.4,8,Grey,2284,21550
129,Whirlpool,10490,26,4.3,6.5,Grey,18807,14490
130,LG,9940,36,4.2,6,Grey,4966,11250
131,Whirlpool,16190,30,4.3,7,Grey,4185,21990
132,LG,25990,21,4.4,6.5,Silver,78,35090
133,BOSCH,39000,10,4.4,6,Silver,3448,52990
134,LG,21990,19,4.4,9,Grey,10135,26500
135,SAMSUNG,7490,33,4.1,6,Hea...,7305,10150
136,ONIDA,15990,19,4.3,6.5,White,2746,24499
137,MOTOROLA,14990,9,4.4,7.5,Grey,18807,19700
138,Whirlpool,19990,26,4.3,6.5,Grey,6,23300
139,Whirlpool,29990,44,4.3,7.5,Grey,2491,43190
140,BOSCH,18990,42,4.4,7,Wh...,187,30000
141,Haier,19990,17,4.3,8,Grey,2573,24990
142,LG,42250,16,3.0,6.5,Silver,44,56000
143,SAMSUNG,26589,33,5.0,8,Black,121,39300
144,Whirlpool,14099,19,4.3,9.5,Grey,318,16250
145,Whirlpool,17591,33,4.0,8.5,Purple,9146,22290
146,Whirlpool,23990,9,4.0,10.5,Grey,269,44499
147,MOTOROLA,24890,22,4.1,6.5,Heate...,2537,31990
148,LG,20990,16,5.0,8,Black,30,26190
149,BOSCH,27990,27,5.0,6.5,Silver,10310,44500
150,Godrej,14990,11,4.3,7,Silver,365,17000
151,Godrej,13990,26,5.0,8,White,9146,17500
152,Godrej,16690,25,5.0,6.5,Grey,5411,19390
153,LG,16990,26,4.3,8.5,Loa...,5165,17200
154,Whirlpool,32990,17,5.0,9,Grey,35,38990
155,IFB,9990,26,5.0,7,Silver,11318,15990
156,Sansui,10790,34,4.3,8.5,White,1682,18990
157,Lloyd,15390,23,4.3,8,White,349,18500
158,Godrej,17471,14,4.4,7,Grey,30,19999
159,Whirlpool,12190,30,4.3,10.5,Grey,5165,15999
160,Whirlpool,15490,36,4.4,8,Red,215,17800
161,Whirlpool,22990,20,4.3,6.5,Grey,5164,28500
162,SAMSUNG,9490,24,4.3,7,Fu...,35,14200
163,Haier,11990,17,4.3,6.5,Maroon,61984,20990
164,ONIDA,14990,33,4.3,6.5,Grey,11318,26490
165,ONIDA,11870,20,4.2,8,Black,1682,15300
166,Whirlpool,16500,44,4.5,8,Purple,9,20050
167,Godrej,23790,30,4.3,8,Grey,12280,49999
168,White,12190,32,4.3,10.5,W...,121,15999
169,Whirlpool,15490,13,4.2,8,Red,2021,17800
170,Whirlpool,13990,21,4.5,6.5,Grey,62485,16800
171,SAMSUNG,22990,46,4.6,6.5,Silver,18807,28500
172,SAMSUNG,9490,22,4.4,7,Fu...,1644,14200
173,Haier,21428,19,3.9,6.5,Maroon,18807,24350
174,IFB,8990,37,4.4,7,Grey,2435,9900
175,SAMSUNG,19990,11,4.3,6,Purple,11533,24190
176,BOSCH,8990,20,3.9,6.5,Grey,3423,13570
177,ONIDA,16990,13,4.2,8,Red,1184,24698
178,Lloyd,9940,1,4.3,12,Grey,16,11250
179,Whirlpool,37000,15,4.4,7,Grey,18807,48800
180,SAMSUNG,26590,37,3.9,8,Black,85,33950
181,Whirlpool,12799,43,4.4,7.5,Grey,11,14000
